性别,身高(cm),体重(kg),尺码,年份
男,171.0,58.0,39,2021
男,175.0,72.0,42,2021
男,183.0,65.0,43,2021
男,180.0,90.0,43,2021
女,160.0,53.0,36,2021
男,180.0,79.0,43,2021
男,175.0,65.0,41,2021
男,171.0,62.0,41,2021
男,172.0,80.0,43,2021
男,172.0,80.0,43,2021
男,175.0,60.0,43,2021
女,163.0,62.0,38,2021
男,170.0,68.0,40,2021
男,177.0,54.0,43,2021
男,173.0,53.0,41,2021
男,168.0,55.0,41,2021
女,165.0,52.0,37,2021
男,170.0,52.0,41,2021
男,188.0,80.0,43,2021
男,172.0,56.0,42,2021
女,163.0,48.0,37,2021
女,162.0,50.0,37,2021
男,183.0,65.0,43,2021
女,165.0,64.0,37,2021
女,167.0,65.0,39,2021
男,183.0,65.0,42,2021
女,166.0,51.0,37,2021
女,172.0,60.0,38,2021
男,178.0,72.0,43,2021
男,185.0,79.0,42,2021
男,183.0,65.0,43,2021
男,185.0,70.0,45,2021
女,158.0,51.0,36,2021
男,177.0,63.0,43,2021
男,178.0,66.0,42,2021
女,169.0,70.0,39,2021
男,190.0,80.0,45,2021
男,175.0,72.0,42,2021
男,170.0,58.0,39,2021
男,177.0,68.0,40,2021
男,185.0,63.0,43,2021
男,170.0,64.0,42,2021
男,174.0,71.0,42,2021
男,178.0,69.0,40,2021
女,160.0,52.0,37,2021
男,188.0,88.0,44,2021
男,170.0,65.0,41,2021
男,172.0,78.0,41,2021
男,182.0,70.0,42,2021
男,173.0,57.0,43,2021
男,183.0,76.0,43,2021
男,183.0,70.0,40,2022
男,186.0,73.0,44,2022
男,176.0,66.0,42,2022
男,170.0,70.0,41,2022
女,160.0,60.0,38,2022
女,165.0,63.0,39,2022
女,158.0,48.0,35,2022
女,168.0,52.0,38,2022
女,165.0,48.0,37,2022
女,158.0,88.0,36,2022
女,164.0,58.0,37,2022
女,165.0,60.0,37,2022
男,165.0,73.0,39,2022
男,182.0,75.0,42,2022
男,185.0,63.0,42,2022
女,162.0,51.0,38,2022
女,158.0,93.0,36,2022
男,181.0,62.0,42,2022
男,177.0,65.0,42,2022
男,169.0,58.0,42,2022
女,190.0,85.0,50,2022
女,164.0,51.0,39,2022
男,178.0,97.0,44,2022
男,166.0,49.0,40,2022
女,162.0,45.0,38,2022
